wiski_station_no,name,drainage_division,longitude,latitude,name_long,kiwisid,name2,system,river,catchment_area[km2],lake_area[km2],capacity[ML],dead_capacity[ML],accessible_capacity[ML],full_supply_level[AHD],min_supply_level[AHD],year_of_completion,STATE_PROPORTION
w00002-410704,Cotter,Murray Darling Basin,148.929,-35.317,"Cotter Dam is located in the  Australian Capital Territory, which lies entirely within the  Murray-Darling  drainage division. Completed in 1915 on the Cotter River, the Cotter Dam was the first water supply storage for  Canberra. The storage capacity of the Cotter Dam was increased in 2013 from 3,847 ML to 76,197 ML to improve the long term security of water supply for the region. The new enlarged Cotter Dam was constructed just downstream of the original dam.  ",410704,Cotter,Australian Capital Territory,Cotter River,482,,79374.338,3177.77,76196.568,550.8,498.7,1912,Australian Capital Territory
w00002-410717,Bendora,Murray Darling Basin,148.825,-35.458,Bendora Dam is located in the  Australian Capital Territory  within the  Murray-Darling drainage division. The Bendora dam enables gravity flow of water to the  Canberra  urban area.,410717,Bendora,Australian Capital Territory,Cotter River,290,,11542.607,96.416,11446.191,778.2,748.48,1961,Australian Capital Territory
w00002-410742,Corin,Murray Darling Basin,148.83,-35.557,Corin Dam is located in the  Australian Capital Territory  within the  Murray-Darling  drainage division. Water released from Corin flows downstream to Bendora reservoir from where it is supplied to  Canberra.,410742,Corin,Australian Capital Territory,Cotter River,197,,70897.119,109.694,70787.425,955.54,896.04,1968,Australian Capital Territory
w00002-410748,Googong,Murray Darling Basin,149.265,-35.457,"Googong Dam is located in  New South Wales and in the  Murray-Darling  drainage division. The rights to the water of the Queanbeyan River were ceded to the Commonwealth in 1909, with Googong Dam subsequently constructed to supply  Canberra.",410748,Googong,Australian Capital Territory,Queanbeyan River,873,,121083.566,1674.367,119409.199,663,624,1979,New South Wales
w00013-BW604A,Upper Stony Creek No. 1,South East Coast (Victoria),144.203,-37.828,"Upper Stony Creek No.1 is located in  Victoria and in the  South-East Coast  drainage division. Constructed in 1872, It was Geelong's first water supply storage.",BW604A,Upper Stony Creek No. 1,Moorabool,Upper Stony Creek,,,3443,3,3440,357.03,337.43,1872,Victoria
w00013-BW604B,Upper Stony Creek No. 2,South East Coast (Victoria),144.207,-37.819,"Upper Stony Creek No.2 is located in  Victoria and in the  South-East Coast  drainage division. Constructed in 1914, it is connected to Upper Stony Creek No.1 by 355mm diameter wooden pipes.",BW604B,Upper Stony Creek No. 2,Moorabool,Upper Stony Creek,,,2248,4,2244,363.27,358.07,1914,Victoria
w00013-BW604C,Upper Stony Creek No. 3,South East Coast (Victoria),144.192,-37.821,"Upper Stony Creek No.3 is located in  Victoria and in the  South-East Coast  drainage division. Constructed in 1918, it is connected to Upper Stony Creek No.1 by a brick-lined tunnel.",BW604C,Upper Stony Creek No. 3,Moorabool,Upper Stony Creek,,,3706,0,3706,361.64,355.47,1918,Victoria
w00013-BW670B,Bostock Reservoir,South East Coast (Victoria),144.178,-37.604,"Bostock Reservoir is located in  Victoria  and in the  South-East Coast  drainage division. One of the five storages in the East Moorabool System supplying Geelong, it has two embankments.",BW670B,Bostock Reservoir,Moorabool,Moorabool River East Branch,,,7455.406,45.026,7410.38,493.97,478.626,1954,Victoria
w00013-BW690,Korweinguboora Reservoir,South East Coast (Victoria),144.145,-37.503,"Korweinguboora Reservoir is located in  Victoria and in the  South-East Coast  drainage division. One of the five storages in the East Moorabool System supplying Geelong, it is unique in that it is one of only a few storages to have a syphon spillway control structure.",BW690,Korweinguboora Reservoir,Moorabool,Moorabool River East Branch,,,2091,7.998,2083.002,583.83,575.609,1910,Victoria
w00013-BW704,Wurdee Boluc Reservoir,South East Coast (Victoria),144.04,-38.285,"Wurdee Boluc Reservoir is located in  Victoria and in the  South-East Coast  drainage division. Originally constructed in 1929 by building earthen embankments around a natural depression, Wurdee Boluc is Geelong's largest storage. It is an offstream storage supplied via a channel from West Barwon Reservoir and small diversion weirs on the East Barwon River, Callahan Creek, Pennyroyal Creek, and Matthews Creeks.",BW704,Wurdee Boluc Reservoir,VIC Barwon,West Barwon - Wurdee Boluc canal,,,40140,2084,38056,139.25,129,1929,Victoria
